Mõõtepunkti kood;N/A
Mõõtepunkti aadress;N/A
;
;
Periood;Tarbitud energia (võrgust) / kWh
05.09.2023;12,567
06.09.2023;12,981
07.09.2023;22,111
08.09.2023;18,157
09.09.2023;10,636
10.09.2023;10,373
11.09.2023;9,296
12.09.2023;15,986
13.09.2023;15,426
14.09.2023;5,735
15.09.2023;6,221
16.09.2023;5,993
17.09.2023;7,568
18.09.2023;16,868
19.09.2023;19,442
20.09.2023;19,164
21.09.2023;11,935
22.09.2023;20,01
23.09.2023;12,423
24.09.2023;13,277
25.09.2023;17,726
26.09.2023;18,269
27.09.2023;10,881
28.09.2023;9,888
29.09.2023;11,475
30.09.2023;12,69
01.10.2023;14,187
02.10.2023;23,444
03.10.2023;22,2
04.10.2023;18,379
05.10.2023;25,525
06.10.2023;24,421
07.10.2023;12,926
08.10.2023;25,01
09.10.2023;30,704
10.10.2023;30,989
11.10.2023;25,342
12.10.2023;29,651
13.10.2023;26,153
14.10.2023;24,508
15.10.2023;26,608
16.10.2023;25,295
17.10.2023;20,67
18.10.2023;36,624
19.10.2023;29,351
20.10.2023;32,429
21.10.2023;31,627
22.10.2023;30,461
23.10.2023;26,483
24.10.2023;25,009
25.10.2023;51,73
26.10.2023;45,794
27.10.2023;41,141
28.10.2023;34,544
29.10.2023;41,354
30.10.2023;42,347
31.10.2023;38,123
01.11.2023;28,364
02.11.2023;34,028
03.11.2023;25,083
04.11.2023;21,359
05.11.2023;22,064
06.11.2023;26,981
07.11.2023;25,731
08.11.2023;32,206
09.11.2023;31,453
10.11.2023;32,009
11.11.2023;21,674
12.11.2023;23,588
13.11.2023;38,189
14.11.2023;39,141
15.11.2023;42,613
16.11.2023;50,085
17.11.2023;53,7
18.11.2023;51,569
19.11.2023;55,918
20.11.2023;55,323
21.11.2023;46,14
22.11.2023;59,886
23.11.2023;33,624
24.11.2023;44,083
25.11.2023;53,513
26.11.2023;65,437
27.11.2023;57,086
28.11.2023;56,962
29.11.2023;73,016
30.11.2023;57,506
01.12.2023;57,159
02.12.2023;53,118
03.12.2023;56,444
04.12.2023;56,946
05.12.2023;76,3
06.12.2023;88,826
07.12.2023;73,558
08.12.2023;85,597
09.12.2023;100,566
10.12.2023;70,509
11.12.2023;67,98
12.12.2023;60,054
13.12.2023;56,791
14.12.2023;54,93
15.12.2023;54,123
16.12.2023;42,65
17.12.2023;38,602
18.12.2023;36,109
19.12.2023;31,499
20.12.2023;43,759
21.12.2023;44,022
22.12.2023;44,406
23.12.2023;45,748
24.12.2023;53,079
25.12.2023;53,127
26.12.2023;54,816
27.12.2023;51,832
28.12.2023;50,331
29.12.2023;48,674
30.12.2023;42,367
31.12.2023;68,289
01.01.2024;79,983
02.01.2024;125,59
03.01.2024;151,149
